
Promedio1,Promedio2,PROMEDIO3,PROMEDIO4,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,ViveconMadre,ViveconPadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,Viudo,UnionLibre,NumGrado,Edad,Hombre,Mujer,Bajo,Intermedio,Notable,Alto
43.600,43.700,44.600,44.800,44.300,1,1,1,1,1,2 ,2,0,0,1,0,0,0,0,0,1,6,8,0,1,0,0,0,1
44.636,44.364,45.182,44.364,44.818,2,1,1,1,1,2 ,2,0,0,1,0,0,0,0,0,1,7,11,0,1,0,0,0,1
36.700,36.100,37.000,35.300,36.400,8,7,5,11,7,1 ,2,1,0,0,0,0,1,0,0,0,4,11,1,0,0,0,1,0
40.300,35.600,36.300,37.100,37.400,8,19,18,11,15,1 ,2,1,0,0,0,0,0,1,0,0,6,8,1,0,0,0,1,0
34.000,28.091,.000,31.273,23.341,18,29,1,25,0,1 ,2,1,0,0,0,0,0,1,0,0,8,13,1,0,1,0,0,0
44.100,41.900,43.500,43.200,43.100,8,15,3,5,7,1 ,2,0,0,1,0,0,0,0,0,1,2,7,0,1,0,0,0,1
35.250,32.833,.000,34.250,25.583,16,20,1,15,0,2 ,2,0,0,1,0,0,0,0,0,1,9,13,0,1,1,0,0,0
36.091,35.000,37.000,32.636,35.273,10,14,13,17,15,2 ,2,0,0,1,0,0,0,0,0,1,7,11,0,1,0,0,1,0
46.800,46.800,46.800,46.800,46.800,0,0,0,0,3,2 ,2,0,0,1,0,0,0,0,0,1,1,5,0,1,0,0,0,1
45.500,42.700,44.200,44.400,44.400,1,1,2,1,1,5 ,3,0,1,0,0,0,0,1,0,0,6,11,0,1,0,0,0,1
31.400,32.400,35.300,36.800,34.200,27,21,22,23,25,2 ,3,0,0,1,0,1,0,0,0,0,4,11,0,1,0,1,0,0
38.750,40.417,44.083,41.167,41.250,8,5,2,4,3,2 ,1,1,0,0,0,0,0,1,0,0,9,13,0,1,0,0,0,1
45.400,44.000,44.800,44.700,44.900,1,1,1,1,1,2 ,1,1,0,0,0,0,0,1,0,0,6,10,0,1,0,0,0,1
42.818,39.091,41.545,43.909,41.909,1,7,2,1,1,2 ,1,1,0,0,0,0,0,1,0,0,7,11,0,1,0,0,0,1
47.500,47.000,45.700,44.000,46.200,9,12,16,14,13,2 ,2,0,1,0,0,0,0,0,0,1,2,6,1,0,0,0,0,1
35.417,35.833,28.750,33.333,33.333,19,15,23,19,0,1 ,2,0,0,1,0,0,0,0,0,1,9,14,0,1,0,1,0,0
35.455,36.545,33.909,34.273,35.273,10,9,14,20,11,1 ,2,0,0,1,0,0,0,0,0,1,8,13,0,1,0,0,1,0
37.700,38.300,34.100,37.100,36.900,10,5,18,12,9,1 ,2,0,0,1,0,0,0,0,0,1,4,8,0,1,0,0,1,0
32.900,32.300,33.400,34.100,33.300,19,21,19,16,19,2 ,2,0,0,1,0,1,0,0,0,0,5,11,0,1,0,1,0,0
30.545,30.273,33.909,35.818,32.909,22,24,13,8,17,2 ,2,0,0,1,0,1,0,0,0,0,8,14,0,1,0,1,0,0
37.091,33.364,35.636,34.636,35.364,7,20,18,18,17,2 ,2,0,0,1,0,1,0,0,0,0,7,13,0,1,0,0,1,0
34.900,31.800,36.000,36.700,35.000,22,25,11,13,17,2 ,2,0,0,1,0,1,0,0,0,0,4,9,0,1,0,1,0,0
