
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
4 ,35.700,33.600,35.500,35.900,21,24,21,17,21,1 ,3,1,0,0,0,0,1,0,0,0,0,6,10,1,0
3 ,33.909,36.182,33.909,35.364,22,21,24,13,18,1 ,3,1,0,0,0,0,1,0,0,0,0,8,13,1,0
1 ,39.900,39.300,37.000,38.900,13,8,17,15,11,2 ,2,0,0,1,0,1,0,0,0,0,0,5,10,0,1
1 ,37.167,38.417,37.167,37.667,7,6,11,7,5,2 ,2,0,0,1,0,1,0,0,0,0,0,11,16,0,1
1 ,38.083,40.667,39.667,39.750,4,2,5,5,5,2 ,2,0,0,1,0,1,0,0,0,0,0,10,15,0,1
3 ,39.500,40.400,39.500,40.500,12,10,9,7,8,2 ,2,0,0,1,0,1,0,0,0,0,0,6,11,0,1
1 ,42.100,38.900,38.900,39.700,3,9,9,10,7,2 ,2,0,0,1,0,1,0,0,0,0,0,4,9,0,1
3 ,33.900,35.000,32.600,34.900,23,20,29,21,27,2 ,2,1,0,0,0,0,1,0,0,0,0,5,10,1,0
3 ,37.200,37.400,40.300,39.200,18,17,8,8,12,2 ,2,1,0,0,0,0,1,0,0,0,0,6,11,1,0
1 ,41.273,39.182,37.545,39.545,11,15,19,14,15,2 ,2,1,0,0,0,0,1,0,0,0,0,3,8,1,0
1 ,32.400,33.273,31.545,33.091,32,32,29,32,32,3 ,2,1,0,0,0,0,0,1,0,0,0,8,12,1,0
5 ,34.273,31.273,34.455,33.545,20,25,19,27,23,1 ,1,1,0,0,0,0,1,0,0,0,0,10,14,1,0
1 ,40.636,42.182,39.091,41.273,13,9,16,7,11,2 ,3,0,0,1,0,1,0,0,0,0,0,3,7,1,0
3 ,28.250,26.083,27.250,27.333,29,24,28,23,28,3 ,2,0,0,1,0,0,0,1,0,0,1,9,14,1,0
1 ,42.600,42.200,42.800,43.000,7,6,6,5,7,3 ,2,0,0,1,0,0,0,1,0,0,0,2,6,1,0
3 ,35.364,33.091,33.273,34.000,16,26,23,24,25,3 ,2,0,0,1,0,0,0,1,0,0,0,7,11,1,0
1 ,35.500,35.500,35.700,36.500,24,23,21,14,21,2 ,2,0,0,1,0,1,0,0,0,0,0,5,9,0,1
1 ,33.500,35.200,36.700,35.500,19,19,16,15,21,2 ,2,0,0,1,0,1,0,0,0,0,0,4,8,0,1
2 ,34.818,33.455,33.727,34.455,18,16,18,11,15,3 ,2,0,0,1,0,1,0,0,0,0,0,7,14,1,0
1 ,35.750,35.583,37.250,36.167,11,14,10,15,9,1 ,2,1,0,0,0,0,0,1,0,0,0,11,16,0,1
2 ,44.333,45.083,43.500,.000,6,3,10,6,1,1 ,2,1,0,0,0,0,0,1,0,0,0,12,17,0,1
1 ,46.600,48.400,46.000,47.000,2,1,1,2,2,2 ,2,0,0,1,0,0,0,0,1,0,0,2,6,0,1
5 ,40.400,42.600,42.400,41.900,9,7,7,8,7,2 ,2,0,0,1,0,0,0,0,1,0,0,7,10,0,1
5 ,36.917,37.667,37.333,.000,19,18,20,20,1,1 ,2,1,0,0,0,0,0,0,0,1,0,11,16,1,0
1 ,37.417,32.917,31.917,33.417,14,25,24,23,22,1 ,3,1,0,0,0,0,1,0,0,0,0,10,15,1,0
2 ,35.167,34.167,30.750,.000,22,22,21,21,1,1 ,3,1,0,0,0,0,1,0,0,0,0,10,16,1,0
1 ,30.455,32.000,34.273,32.636,30,28,27,28,29,1 ,3,1,0,0,0,0,1,0,0,0,0,7,11,1,0
3 ,34.500,37.100,33.300,34.700,20,16,21,20,20,1 ,3,1,0,0,0,0,1,0,0,0,0,4,8,1,0
1 ,37.600,40.000,39.600,39.700,18,12,14,10,14,2 ,2,0,0,1,0,1,0,0,0,0,0,2,7,0,1
2 ,34.583,35.750,36.917,34.917,12,18,7,23,15,2 ,2,1,0,0,0,0,1,0,0,0,0,9,16,1,0
3 ,40.000,37.545,37.273,38.091,8,15,15,14,14,2 ,2,1,0,0,0,0,1,0,0,0,0,7,12,1,0
1 ,38.455,37.636,35.909,36.818,18,19,22,28,22,3 ,2,1,0,0,0,0,0,1,0,0,0,3,7,1,0
3 ,32.400,34.200,32.600,33.600,26,23,29,24,28,1 ,1,1,0,0,0,0,1,0,0,0,0,5,10,1,0
1 ,30.167,31.500,31.750,31.833,22,22,23,21,22,1 ,1,1,0,0,0,0,1,0,0,0,0,9,16,1,0
1 ,34.273,31.273,34.455,33.545,20,25,19,27,23,1 ,1,1,0,0,0,0,1,0,0,0,0,7,14,1,0
3 ,40.000,36.600,36.500,38.300,11,19,23,15,13,1 ,2,0,0,1,0,0,0,0,1,0,0,6,12,0,1
